ADEINORT,"AROINTED
DERATION
ORDINATE
RATIONED",8,1,0.000143,4
AEILNORT,"ORIENTAL
RELATION",8,2,0.000143,2
AEINORST,"NOTARIES
NOTARISE
SENORITA",8,3,0.000143,3
AAEINORT,AERATION,8,4,0.0001317,1
AEEILORT,AEROLITE,8,5,0.0001245,1
ADEILNOT,DELATION,8,6,0.0001014,1
ADEILORT,"IDOLATER
TAILORED",8,7,0.0001014,2
ADEINORS,"ANEROIDS
ANODISER",8,8,0.0001014,2
ADEINOST,"ASTONIED
SEDATION",8,9,0.0001014,2
ADEIORST,ASTEROID,8,10,0.0001014,1
AEILNORS,"AILERONS
ALIENORS",8,11,0.0001014,2
AEILNOST,"ELATIONS
INSOLATE
TOENAILS",8,12,0.0001014,3
AEIORSTU,"OUTRAISE
SAUTOIRE",8,13,0.0001014,2
AEEINRST,"ARENITES
ARSENITE
RESINATE
STEARINE
TRAINEES",8,14,9.649e-05,5
ADEEINRT,"DETAINER
RETAINED",8,15,9.649e-05,2
AEEILNRT,"ELATERIN
ENTAILER
TREENAIL",8,16,9.649e-05,3
ADEIINOT,"IDEATION
IODINATE
TAENIOID",8,17,9.363e-05,3
AEINORRT,ANTERIOR,8,18,8.891e-05,1
AEINORTT,TENTORIA,8,19,8.891e-05,1
AEINNORT,"ANOINTER
REANOINT",8,20,8.891e-05,2
AEEIINRT,INERTIAE,8,21,8.879e-05,1
AEENORST,"EARSTONE
RESONATE",8,22,8.67e-05,2
DEEINORT,ORIENTED,8,23,8.67e-05,1
EEINORST,"ONERIEST
SEROTINE",8,24,8.67e-05,2
ABEINORT,"BARITONE
OBTAINER
REOBTAIN
TABORINE",8,25,8.474e-05,4
ACEINORT,"ACTIONER
ANORETIC
CREATION
REACTION",8,26,8.474e-05,4
AEHINORT,ANTIHERO,8,27,8.474e-05,1
AEINOPRT,ATROPINE,8,28,8.474e-05,1
AEGINORS,ORGANISE,8,29,8.058e-05,1
AEGILNOT,"GELATION
LEGATION",8,30,8.058e-05,2
ADEGINOR,ORGANDIE,8,31,8.058e-05,1
AEGILNOR,"GERANIOL
REGIONAL",8,32,8.058e-05,2
AEINRSTU,"RUINATES
TAURINES
URANITES
URINATES",8,33,7.841e-05,4
ADEINRTU,"INDURATE
RUINATED
URINATED",8,34,7.841e-05,3
AEILNRST,"ENTRAILS
LATRINES
RATLINES
RETINALS
SLANTIER
TRENAILS",8,35,7.841e-05,6
